,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
26,6,16,22,3,55,50,91,36,18,33,68,252,85,693,1652,226,2054,69768,,2021-05-27 06:18:00,2021-05-27 06:26:00,,,71,72,,1.93,21.37,2.75,0.0,0.0,0.0,,0.3,24.42,,,
86,58,23,71,29,76,20,43,41,61,31,80,261,725,33,1902,3092,3662,35368,2.0,2021-05-22 17:38:51,2021-05-22 17:55:36,N,1.0,33,107,3.0,5.56,18.5,0.0,0.5,4.41,0.0,,0.3,26.46,1.0,1.0,2.75
2,2,2,2,2,2,2,2,2,2,2,2,298,491,801,1180,4717,8155,53651,,2021-05-24 11:43:00,2021-05-24 12:32:00,,,22,82,,18.28,58.17,2.75,0.0,0.0,0.0,,0.3,61.22,,,
55,50,91,36,18,33,68,14,7,73,97,64,413,985,70,381,4963,1749,13718,1.0,2021-05-09 20:34:26,2021-05-09 20:41:41,N,1.0,18,18,1.0,0.8,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,0.0
75,69,89,70,19,8,54,28,82,81,37,56,272,50,331,1267,3687,2891,65266,,2021-05-01 22:33:00,2021-05-01 22:48:00,,,74,69,,3.68,15.29,0.0,0.0,0.0,0.0,,0.3,15.59,,,
93,83,46,17,24,45,15,30,60,10,53,34,408,652,584,1491,1324,5076,29630,1.0,2021-05-19 17:08:34,2021-05-19 17:41:21,N,1.0,61,190,1.0,2.8,20.0,1.0,0.5,0.0,0.0,,0.3,21.8,2.0,1.0,0.0
16,22,3,55,50,91,36,18,33,68,14,7,231,308,304,3731,1456,3243,30312,2.0,2021-05-20 07:18:51,2021-05-20 07:56:45,N,1.0,95,186,1.0,12.02,37.0,0.0,0.5,11.78,6.55,,0.3,58.88,1.0,1.0,2.75
73,97,64,79,77,94,9,95,96,67,84,39,267,471,691,3450,3603,4798,9862,2.0,2021-05-07 11:07:56,2021-05-07 11:15:23,N,1.0,166,239,1.0,2.01,8.0,0.0,0.5,2.31,0.0,,0.3,13.86,1.0,1.0,2.75
54,28,82,81,37,56,11,92,21,62,66,32,614,933,53,1654,17,3728,2574,2.0,2021-05-02 20:09:04,2021-05-02 21:03:19,N,1.0,155,235,2.0,27.98,77.0,0.5,0.5,0.0,6.55,,0.3,84.85,1.0,1.0,0.0
95,96,67,84,39,74,98,47,40,1,86,58,987,804,461,218,2378,8509,13538,2.0,2021-05-09 16:57:40,2021-05-09 17:06:41,N,1.0,74,263,1.0,2.13,9.0,0.0,0.5,2.51,0.0,,0.3,15.06,1.0,1.0,2.75
53,34,51,59,52,0,26,6,16,22,3,55,582,831,371,1620,2343,6296,13338,2.0,2021-05-09 15:37:19,2021-05-09 15:53:41,N,1.0,75,48,1.0,3.67,14.0,0.0,0.5,3.51,0.0,,0.3,21.06,1.0,1.0,2.75
92,21,62,66,32,90,87,12,78,72,49,5,971,845,778,4656,3999,4202,83869,,2021-05-30 13:58:00,2021-05-30 14:23:00,,,17,145,,5.64,24.47,0.0,0.0,5.32,0.0,,0.3,30.09,,,
78,72,49,5,93,83,46,17,24,45,15,30,823,841,770,4007,4309,8571,38117,2.0,2021-05-24 16:02:08,2021-05-24 16:53:52,N,1.0,197,235,1.0,16.6,51.5,1.0,0.5,0.0,6.55,,0.3,59.85,1.0,1.0,0.0
13,13,13,13,13,13,13,13,13,13,13,13,239,181,999,3265,2288,172,7748,2.0,2021-05-06 09:29:51,2021-05-06 09:34:56,N,1.0,74,74,1.0,0.66,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,1.0,1.0,0.0
7,73,97,64,79,77,94,9,95,96,67,84,909,398,837,3985,1575,7446,28612,2.0,2021-05-19 09:33:02,2021-05-19 09:55:55,N,1.0,75,4,6.0,5.99,21.0,0.0,0.5,4.91,0.0,,0.3,29.46,1.0,1.0,2.75
30,60,10,53,34,51,59,52,0,26,6,16,906,633,682,1997,3294,2902,53554,,2021-05-11 16:23:00,2021-05-11 16:51:00,,,33,62,,3.3,20.93,2.75,0.0,0.0,0.0,,0.3,23.98,,,
22,3,55,50,91,36,18,33,68,14,7,73,247,2,298,3899,1406,3908,2895,1.0,2021-05-03 08:14:56,2021-05-03 08:38:10,N,1.0,42,142,1.0,6.0,21.0,2.75,0.5,0.0,0.0,,0.3,24.55,1.0,1.0,2.75
24,45,15,30,60,10,53,34,51,59,52,0,993,707,168,4445,2273,212,14601,1.0,2021-05-10 13:33:01,2021-05-10 13:40:54,N,1.0,74,152,1.0,0.9,7.0,0.0,0.5,1.55,0.0,,0.3,9.35,1.0,1.0,0.0
33,68,14,7,73,97,64,79,77,94,9,95,485,546,26,3054,2945,9330,27746,2.0,2021-05-18 17:38:06,2021-05-18 18:02:23,N,1.0,25,61,1.0,2.83,16.0,1.0,0.5,0.0,0.0,,0.3,17.8,1.0,1.0,0.0
8,54,28,82,81,37,56,11,92,21,62,66,264,818,296,4953,756,7057,83466,,2021-05-20 10:50:00,2021-05-20 11:47:00,,,55,229,,17.85,48.13,2.75,0.0,0.0,6.55,,0.3,57.73,,,
43,41,61,31,80,25,48,38,63,57,35,27,103,902,774,3426,2410,6751,63014,,2021-05-15 14:01:19,2021-05-15 14:16:07,,,66,233,,6.1,19.5,0.0,0.5,4.61,0.0,,0.3,27.66,,,
62,66,32,90,87,12,78,72,49,5,93,83,982,396,159,4244,2822,9884,56635,,2021-05-24 13:23:00,2021-05-24 13:39:00,,,37,61,,0.0,20.06,2.75,0.0,0.0,0.0,,0.3,23.11,,,
3,55,50,91,36,18,33,68,14,7,73,97,108,958,966,1960,3237,6291,23568,2.0,2021-05-15 23:44:23,2021-05-15 23:53:26,N,1.0,41,24,1.0,1.83,8.5,0.5,0.5,1.96,0.0,,0.3,11.76,1.0,1.0,0.0
71,29,76,20,43,41,61,31,80,25,48,38,918,57,270,2807,3410,5293,80093,,2021-05-13 05:07:00,2021-05-13 05:27:00,,,213,51,,9.22,16.24,2.75,0.0,0.0,6.55,,0.3,25.84,,,
45,15,30,60,10,53,34,51,59,52,0,26,45,783,937,1870,2841,6630,65858,,2021-05-26 17:04:00,2021-05-26 17:18:00,,,165,150,,2.82,21.61,2.75,0.0,0.0,0.0,,0.3,24.66,,,
48,38,63,57,35,27,99,44,4,75,69,89,874,387,447,4409,614,2872,73347,,2021-05-27 09:28:00,2021-05-27 09:31:00,,,76,76,,0.86,15.43,2.75,0.0,0.0,0.0,,0.3,18.48,,,
6,16,22,3,55,50,91,36,18,33,68,14,578,761,965,1540,1757,6052,10543,2.0,2021-05-07 17:51:56,2021-05-07 17:54:31,N,1.0,75,236,1.0,0.43,4.0,1.0,0.5,0.0,0.0,,0.3,8.55,2.0,1.0,2.75
99,44,4,75,69,89,70,19,8,54,28,82,386,588,153,4150,78,7439,23729,2.0,2021-05-16 07:49:12,2021-05-16 07:52:32,N,1.0,75,74,1.0,0.94,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,2.0,1.0,0.0
82,81,37,56,11,92,21,62,66,32,90,87,501,185,922,1499,1357,4563,49933,2.0,2021-05-31 15:49:38,2021-05-31 15:56:02,N,1.0,41,151,1.0,1.3,6.5,0.0,0.5,2.19,0.0,,0.3,9.49,1.0,1.0,0.0
76,20,43,41,61,31,80,25,48,38,63,57,270,711,871,3166,916,9870,20762,1.0,2021-05-14 11:20:43,2021-05-14 11:42:50,N,1.0,133,108,1.0,4.0,17.0,0.0,0.5,0.0,0.0,,0.3,17.8,2.0,1.0,0.0
60,10,53,34,51,59,52,0,26,6,16,22,310,938,28,3711,1216,938,37408,2.0,2021-05-24 09:46:04,2021-05-24 09:54:58,N,1.0,254,254,1.0,1.74,8.5,0.0,0.5,1.86,0.0,,0.3,11.16,1.0,1.0,0.0
80,25,48,38,63,57,35,27,99,44,4,75,412,577,742,2678,4406,3907,33643,2.0,2021-05-21 20:55:05,2021-05-21 21:17:31,N,1.0,41,213,2.0,7.78,24.0,0.5,0.5,0.0,0.0,,0.3,25.3,1.0,1.0,0.0
90,87,12,78,72,49,5,93,83,46,17,24,883,962,448,2070,2300,8627,55364,,2021-05-22 10:24:00,2021-05-22 10:41:00,,,95,132,,7.89,46.15,2.75,0.0,0.0,0.0,,0.3,49.2,,,
68,14,7,73,97,64,79,77,94,9,95,96,568,63,202,3270,3106,2339,63591,,2021-05-07 09:03:00,2021-05-07 09:09:00,,,51,81,,1.43,14.13,2.75,0.0,0.0,0.0,,0.3,17.18,,,
51,59,52,0,26,6,16,22,3,55,50,91,494,205,620,383,4602,7609,81369,,2021-05-21 18:07:00,2021-05-21 18:54:00,,,246,220,,10.96,44.26,2.75,0.0,0.0,0.0,,0.3,47.31,,,
27,99,44,4,75,69,89,70,19,8,54,28,760,727,44,608,3932,4134,17770,2.0,2021-05-12 12:07:58,2021-05-12 12:22:52,N,1.0,75,42,1.0,2.2,11.0,0.0,0.5,0.0,0.0,,0.3,11.8,2.0,1.0,0.0
18,33,68,14,7,73,97,64,79,77,94,9,706,176,240,4345,2276,2443,65914,,2021-05-17 16:55:00,2021-05-17 17:27:00,,,186,14,,10.87,32.66,2.75,0.0,0.0,6.55,,0.3,42.26,,,
56,11,92,21,62,66,32,90,87,12,78,72,740,579,137,4467,2609,3735,48003,2.0,2021-05-29 23:41:26,2021-05-29 23:46:36,N,1.0,129,129,1.0,0.91,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
63,57,35,27,99,44,4,75,69,89,70,19,77,796,464,683,1309,4872,1648,2.0,2021-05-02 08:21:54,2021-05-02 08:25:27,N,1.0,75,42,1.0,1.51,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
74,98,47,40,1,86,58,23,71,29,76,20,31,710,764,2365,2039,3411,445,1.0,2021-05-01 11:37:16,2021-05-01 11:46:25,N,1.0,65,66,2.0,1.2,8.0,0.0,0.5,2.0,0.0,,0.3,10.8,1.0,1.0,0.0
1,86,58,23,71,29,76,20,43,41,61,31,710,764,917,3500,907,6648,73730,,2021-05-12 15:03:00,2021-05-12 15:09:00,,,67,67,,0.73,19.73,2.75,0.0,0.0,0.0,,0.3,22.78,,,
61,31,80,25,48,38,63,57,35,27,99,44,251,667,575,1531,2604,6479,36163,2.0,2021-05-23 13:45:19,2021-05-23 13:53:52,N,1.0,41,42,1.0,1.72,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
42,42,42,42,42,42,42,42,42,42,42,42,635,517,626,3994,769,6129,39038,2.0,2021-05-25 09:19:28,2021-05-25 09:25:13,N,1.0,75,74,1.0,1.38,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
41,61,31,80,25,48,38,63,57,35,27,99,644,426,830,4933,4420,2883,67487,,2021-05-26 18:49:00,2021-05-26 19:03:00,,,11,108,,3.37,12.82,2.75,0.0,0.0,0.0,,0.3,15.87,,,
4,75,69,89,70,19,8,54,28,82,81,37,366,963,431,394,3141,9660,41722,2.0,2021-05-26 15:28:45,2021-05-26 17:06:31,N,1.0,14,5,1.0,18.67,77.0,0.0,0.5,0.0,6.55,,0.3,84.35,1.0,1.0,0.0
15,30,60,10,53,34,51,59,52,0,26,6,27,103,902,2917,4781,7050,62738,,2021-05-20 18:54:00,2021-05-20 20:00:00,,,238,196,,10.68,41.37,2.75,0.0,0.0,0.0,,0.3,44.42,,,
17,24,45,15,30,60,10,53,34,51,59,52,262,436,268,4452,885,5188,4836,2.0,2021-05-04 12:43:08,2021-05-04 12:43:11,N,5.0,75,264,1.0,0.0,7.0,0.0,0.0,0.0,0.0,,0.3,7.3,1.0,2.0,0.0
40,1,86,58,23,71,29,76,20,43,41,61,643,470,858,3906,4025,3286,24810,2.0,2021-05-16 21:42:18,2021-05-16 21:47:38,N,1.0,75,74,1.0,1.44,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,1.0,1.0,0.0
38,63,57,35,27,99,44,4,75,69,89,70,738,393,571,1921,4923,6465,87358,,2021-05-03 11:24:00,2021-05-03 11:27:00,,,22,22,,0.0,12.82,2.75,0.0,0.0,0.0,,0.3,15.87,,,
5,93,83,46,17,24,45,15,30,60,10,53,432,66,264,4580,3674,8029,42153,2.0,2021-05-26 18:45:52,2021-05-26 19:01:20,N,1.0,74,151,1.0,2.13,11.5,1.0,0.5,2.66,0.0,,0.3,15.96,1.0,1.0,0.0
