,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
26,6,16,22,3,55,50,91,36,18,33,68,252,85,693,45401,2.0,2021-06-25 20:16:41,2021-06-25 20:32:39,N,1.0,7,70,5.0,4.33,15.5,0.5,0.5,0.0,0.0,,0.3,16.8,2.0,1.0,0.0
86,58,23,71,29,76,20,43,41,61,31,80,261,725,33,66438,,2021-06-26 11:58:00,2021-06-26 12:04:00,,,147,60,,0.61,11.95,2.75,0.0,0.0,0.0,,0.3,15.0,,,
2,2,2,2,2,2,2,2,2,2,2,2,298,491,801,76603,,2021-06-29 11:23:00,2021-06-29 11:43:00,,,77,85,,3.89,23.83,2.75,0.0,0.0,0.0,,0.3,26.88,,,
55,50,91,36,18,33,68,14,7,73,97,64,413,985,70,52739,2.0,2021-06-30 07:48:50,2021-06-30 08:02:04,N,1.0,74,159,1.0,2.0,10.5,0.0,0.5,3.39,0.0,,0.3,14.69,1.0,1.0,0.0
75,69,89,70,19,8,54,28,82,81,37,56,272,50,331,69193,,2021-06-28 19:32:00,2021-06-28 20:06:00,,,61,260,,0.0,29.06,2.75,0.0,0.0,0.0,,0.3,32.11,,,
93,83,46,17,24,45,15,30,60,10,53,34,408,652,584,45573,2.0,2021-06-25 22:46:00,2021-06-25 22:59:22,N,1.0,75,42,1.0,3.01,12.0,0.5,0.5,0.0,0.0,,0.3,13.3,1.0,1.0,0.0
16,22,3,55,50,91,36,18,33,68,14,7,231,308,304,85369,,2021-06-20 14:06:00,2021-06-20 14:48:00,,,36,218,,9.35,33.06,2.75,0.0,0.0,0.0,,0.3,36.11,,,
73,97,64,79,77,94,9,95,96,67,84,39,267,471,691,57144,,2021-06-17 16:05:00,2021-06-17 16:48:00,,,197,202,,12.41,42.56,2.75,0.0,0.0,0.0,,0.3,45.61,,,
54,28,82,81,37,56,11,92,21,62,66,32,614,933,53,20985,2.0,2021-06-12 13:59:55,2021-06-12 14:15:17,N,1.0,41,262,2.0,3.25,13.0,0.0,0.5,3.31,0.0,,0.3,19.86,1.0,1.0,2.75
95,96,67,84,39,74,98,47,40,1,86,58,987,804,461,15738,1.0,2021-06-09 16:04:24,2021-06-09 16:12:36,N,1.0,75,74,2.0,1.3,7.5,1.0,0.5,1.0,0.0,,0.3,10.3,1.0,1.0,0.0
